DBA,BORO,BUILDING,STREET,ZIPCODE,address,"INSPECTION DATE","VIOLATION CODE","VIOLATION DESCRIPTION","CRITICAL FLAG",SCORE,GRADE,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"BAY RIDGE CAFE",BROOKLYN,6802,"4TH AVE",11220,"6802 4TH AVE",02/06/17,09C,"Food contact surface not properly maintained.","Not Critical",2,A,40.635288,-74.023456,1,rooftop,6802,"4th Ave",Brooklyn,NY,"Kings County",11220,US,"City of New York"
"LION'S MILK",BROOKLYN,104,"ROEBLING ST",11211,"104 ROEBLING ST",03/07/17,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.","Not Critical",2,A,40.715897,-73.955756,1,rooftop,104,"Roebling St",Brooklyn,NY,"Kings County",11211,US,"City of New York"
"THE RED LANTERN",BROOKLYN,345,"MYRTLE AVENUE",11205,"345 MYRTLE AVENUE",06/29/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,A,40.693351,-73.972441,1,rooftop,345,"Myrtle Ave",Brooklyn,NY,"Kings County",11205,US,"City of New York"
"ANDY'S CAFETERIA",BROOKLYN,451,"CLARKSON AVE",11203,"451 CLARKSON AVE",02/28/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,A,40.65625,-73.944614,1,rooftop,451,"Clarkson Ave",Brooklyn,NY,"Kings County",11203,US,"City of New York"
"CAFE 101",BROOKLYN,394,"LENOX ROAD",11203,"394 LENOX ROAD",06/14/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,A,40.654265,-73.946345,1,rooftop,394,"Lenox Rd",Brooklyn,NY,"Kings County",11203,US,"City of New York"
"BLUE BOTTLE COFFEE",BROOKLYN,203,"7TH AVE",11215,"203 7TH AVE",12/20/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,A,40.670643,-73.978269,1,rooftop,203,"7th Ave",Brooklyn,NY,"Kings County",11215,US,"City of New York"
DEVOCION,BROOKLYN,69,"GRAND ST",11249,"69 GRAND ST",07/12/17,10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",2,A,40.695385,-73.964232,1,rooftop,69,"Grand Ave",Brooklyn,NY,"Kings County",11205,US,"City of New York"
STARBUCKS,BROOKLYN,1417,"KINGS HIGHWAY",11229,"1417 KINGS HIGHWAY",03/08/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,A,40.600988,-73.939998,0.33,place,,,Brooklyn,NY,"Kings County",11229,US,"TIGER/Line® dataset from the US Census Bureau"
SUNRISE/SUNSET,BROOKLYN,351,"EVERGREEN AVE",11221,"351 EVERGREEN AVE",05/18/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,A,40.693718,-73.922792,1,rooftop,351,"Evergreen Ave",Brooklyn,NY,"Kings County",11221,US,"City of New York"
RE-DE-FINED,BROOKLYN,2771,"NOSTRAND AVE",11210,"2771 NOSTRAND AVE",01/03/18,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,A,40.616908,-73.944839,1,rooftop,2771,"Nostrand Ave",Brooklyn,NY,"Kings County",11210,US,"City of New York"
"NINJA BUBBLE TEA",BROOKLYN,220,"36TH STREET",11232,"220 36TH STREET",01/18/18,09C,"Food contact surface not properly maintained.","Not Critical",2,A,40.656627,-74.008432,1,rooftop,220,"36th St",Brooklyn,NY,"Kings County",11232,US,"City of New York"
"HUNGRY GHOST",BROOKLYN,183,"STERLING PLACE",11238,"183 STERLING PLACE",03/30/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,A,40.67655,-73.971785,1,rooftop,183,"Sterling Pl",Brooklyn,NY,"Kings County",11238,US,"City of New York"
"SMILE TO GO",BROOKLYN,55,"WATER ST",11201,"55 WATER ST",11/08/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,A,40.703389,-73.992347,1,rooftop,55,"Water St",Brooklyn,NY,"Kings County",11201,US,"City of New York"
"DUNKIN' DONUTS, BASKIN ROBBINS",BROOKLYN,5510,"5 AVENUE",11220,"5510 5 AVENUE",05/18/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,A,40.642126,-74.013616,1,rooftop,5510,"5th Ave",Brooklyn,NY,"Kings County",11220,US,"City of New York"
STARBUCKS,BROOKLYN,514,"86 STREET",11209,"514 86 STREET",05/31/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",3,A,40.621117,-74.025908,1,rooftop,514,"86th St",Brooklyn,NY,"Kings County",11209,US,"City of New York"
STARBUCKS,BROOKLYN,348,"FULTON STREET",11201,"348 FULTON STREET",05/23/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",3,A,40.69179,-73.988526,1,rooftop,348,"Fulton St",Brooklyn,NY,"Kings County",11201,US,"City of New York"
"O MACDONOUGH",BROOKLYN,83,"SARATOGA AVE",11233,"83 SARATOGA AVE",01/03/18,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",3,A,40.683932,-73.917242,1,rooftop,83,"Saratoga Ave",Brooklyn,NY,"Kings County",11233,US,"City of New York"
"GERIZIM ICE CREAM AND CAFE",BROOKLYN,560,"RALPH AVE",11233,"560 RALPH AVE",12/12/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",3,A,40.669875,-73.922625,1,rooftop,560,"Ralph Ave",Brooklyn,NY,"Kings County",11233,US,"City of New York"
"MUSE CAFE",BROOKLYN,497,"6TH AVE",11215,"497 6TH AVE",12/29/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",3,A,40.666328,-73.985169,1,rooftop,497,"6th Ave",Brooklyn,NY,"Kings County",11215,US,"City of New York"
STARBUCKS,BROOKLYN,309,"GOLD ST",11201,"309 GOLD ST",08/23/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",3,A,40.695084,-73.983063,1,rooftop,309,"Gold St",Brooklyn,NY,"Kings County",11201,US,"City of New York"
PHOEBE'S,BROOKLYN,335,"ADAMS STREET",11201,"335 ADAMS STREET",01/19/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",3,A,40.693507,-73.988425,1,rooftop,335,"Adams St",Brooklyn,NY,"Kings County",11201,US,"City of New York"
"(LIBRARY)  FOUR & TWENTY BLACKBIRDS",BROOKLYN,10,"GRAND ARMY PLZ",11238,"10 GRAND ARMY PLZ",08/22/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",3,A,40.674873,-73.970121,0.8,range_interpolation,10,"Grand Army Plz",Brooklyn,NY,"Kings County",11238,US,"TIGER/Line® dataset from the US Census Bureau"
"WASHINGTON AVENUE CAFE",BROOKLYN,621,"WASHINGTON AVE",11238,"621 WASHINGTON AVE",02/01/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",3,A,40.678939,-73.96382,1,rooftop,621,"Washington Ave",Brooklyn,NY,"Kings County",11238,US,"City of New York"
"ANDREW'S CLASSIC BKLYN BAGELS,LLC",BROOKLYN,445,"ALBEE SQUARE",11201,"445 ALBEE SQUARE",09/27/17,10H,"Proper sanitization not provided for utensil ware washing operation.","Not Critical",3,A,40.691147,-73.983288,1,range_interpolation,445,"Albee Sq",Brooklyn,NY,"Kings County",11201,US,"TIGER/Line® dataset from the US Census Bureau"
"VAN LEEUWEN ARTISAN ICE CREAM",BROOKLYN,81,"BERGEN STREET",11201,"81 BERGEN STREET",01/30/18,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",3,A,40.686797,-73.990276,1,range_interpolation,81,"Bergen St",Brooklyn,NY,"Kings County",11201,US,"TIGER/Line® dataset from the US Census Bureau"
STARBUCKS,BROOKLYN,33,"HILLEL PLACE",11210,"33 HILLEL PLACE",05/23/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",3,A,40.632274,-73.948604,1,rooftop,33,"Hillel Pl",Brooklyn,NY,"Kings County",11210,US,"City of New York"
"UPRIGHT COFFEE",BROOKLYN,860,"MANHATTAN AVENUE",11222,"860 MANHATTAN AVENUE",05/31/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",3,A,40.729265,-73.953734,1,rooftop,860,"Manhattan Ave",Brooklyn,NY,"Kings County",11222,US,"City of New York"
OVENLY,BROOKLYN,210,"FLATBUSH AVE",11217,"210 FLATBUSH AVE",10/18/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",3,A,40.681242,-73.975632,1,rooftop,210,"Flatbush Ave",Brooklyn,NY,"Kings County",11217,US,"City of New York"
"DUNKIN' DONUTS",BROOKLYN,482,"KINGS HIGHWAY",11223,"482 KINGS HIGHWAY",01/30/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",3,A,40.60408,-73.971867,1,rooftop,482,"Kings Hwy",Brooklyn,NY,"Kings County",11223,US,"City of New York"
VARIETY,BROOKLYN,368,"GRAHAM AVENUE",11211,"368 GRAHAM AVENUE",08/14/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",3,A,40.715407,-73.944362,1,rooftop,368,"Graham Ave",Brooklyn,NY,"Kings County",11211,US,"City of New York"
"KUNG FU TEA",BROOKLYN,806,"55TH ST",11220,"806 55TH ST",01/30/17,10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",4,A,40.638017,-74.006361,1,rooftop,806,"55th St",Brooklyn,NY,"Kings County",11220,US,"City of New York"
"CONNECTICUT MUFFIN",BROOKLYN,171,"7 AVENUE",11215,"171 7 AVENUE",03/02/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",4,A,40.671751,-73.977334,1,rooftop,171,"7th Ave",Brooklyn,NY,"Kings County",11215,US,"City of New York"
"CONNECTICUT MUFFIN",BROOKLYN,171,"7 AVENUE",11215,"171 7 AVENUE",03/02/17,10I,"Single service item reused, improperly stored, dispensed; not used when required.","Not Critical",4,A,40.671751,-73.977334,1,rooftop,171,"7th Ave",Brooklyn,NY,"Kings County",11215,US,"City of New York"
ELK,BROOKLYN,154,"PROSPECT PARK SW",11218,"154 PROSPECT PARK SW",12/29/17,10H,"Proper sanitization not provided for utensil ware washing operation.","Not Critical",4,A,40.654939,-73.973526,1,rooftop,154,"Prospect Park SW",Brooklyn,NY,"Kings County",11218,US,"City of New York"
"KOS KAFFE",BROOKLYN,251,"5 AVENUE",11215,"251 5 AVENUE",08/10/17,22F,,"Not Applicable",4,A,40.674752,-73.981466,1,rooftop,251,"5th Ave",Brooklyn,NY,"Kings County",11215,US,"City of New York"
"WYCKOFF STARR",BROOKLYN,30,"WYCKOFF AVENUE",11237,"30 WYCKOFF AVENUE",02/27/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",4,A,40.706159,-73.922405,1,rooftop,30,"Wyckoff Ave",Brooklyn,NY,"Kings County",11237,US,"City of New York"
"BURLY CAFE",BROOKLYN,832,"DEKALB AVE",11221,"832 DEKALB AVE",07/13/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",4,A,40.692199,-73.943458,1,range_interpolation,832,"Dekalb Ave",Brooklyn,NY,"Kings County",11221,US,"TIGER/Line® dataset from the US Census Bureau"
STARBUCKS,BROOKLYN,9202,"3 AVENUE",11209,"9202 3 AVENUE",01/11/18,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",4,A,40.619261,-74.032951,1,rooftop,9202,"3rd Ave",Brooklyn,NY,"Kings County",11209,US,"City of New York"
"CLEMENTINE BAKERY",BROOKLYN,395,"CLASSON AVE",11238,"395 CLASSON AVE",04/25/17,10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",4,A,40.687558,-73.959604,1,rooftop,395,"Classon Ave",Brooklyn,NY,"Kings County",11238,US,"City of New York"
"Gong Cha",BROOKLYN,156,"LAWRENCE ST",11201,"156 LAWRENCE ST",11/21/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",4,A,40.691471,-73.98643,1,rooftop,156,"Lawrence St",Brooklyn,NY,"Kings County",11201,US,"City of New York"
"CAFE CAGGIANO",BROOKLYN,209,"AVENUE U",11223,"209 AVENUE U",09/25/17,10H,"Proper sanitization not provided for utensil ware washing operation.","Not Critical",4,A,40.596773,-73.976256,1,rooftop,209,"Ave U",Brooklyn,NY,"Kings County",11223,US,"City of New York"
"DUNKIN' DONUTS",BROOKLYN,356,"MCGUINNESS BOULEVARD",11222,"356 MCGUINNESS BOULEVARD",01/06/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",4,A,40.734808,-73.952178,0.9,rooftop,356,"Mc Guinness Blvd",Brooklyn,NY,"Kings County",11222,US,"City of New York"
